Ano de eleição,Município,Partido,Código município,Nome candidato,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2022,ERVAL GRANDE,PP,86410,ERNANI POLO,Eleito,0,ERNANI POLO,ERVAL GRANDE
2022,MARATÁ,PSDB,86983,MATEUS JOSE DE LIMA WESP,Suplente,0,MATEUS WESP,MARATA
2022,AUGUSTO PESTANA,MDB,85294,CARLOS ANTÔNIO BÚRIGO,Suplente,0,CARLOS BURIGO,AUGUSTO PESTANA
2022,PINHEIRO MACHADO,PP,87939,JOEL LEANDRO WILHELM,Eleito,0,JOEL LEANDRO WILHELM,PINHEIRO MACHADO
2022,SÃO MARCOS,PP,88838,JOEL LEANDRO WILHELM,Eleito,4,JOEL LEANDRO WILHELM,SAO MARCOS
2022,GARRUCHOS,PSB,86720,ELTON ROBERTO WEBER,Eleito,5,ELTON ROBERTO WEBER,GARRUCHOS
2022,PORTO ALEGRE,PP,88013,ERNANI POLO,Eleito,218,ERNANI POLO,PORTO ALEGRE
2022,PORTO ALEGRE,PP,88013,ERNANI POLO,Eleito,252,ERNANI POLO,PORTO ALEGRE
2022,VICENTE DUTRA,PP,89656,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,0,MARCUS VINICIUS VIEIRA DE ALMEIDA,VICENTE DUTRA
2022,VILA LÂNGARO,PP,88749,JOEL LEANDRO WILHELM,Eleito,0,JOEL LEANDRO WILHELM,VILA LANGARO
2022,FLORES DA CUNHA,PP,86614,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,7,MARCUS VINICIUS VIEIRA DE ALMEIDA,FLORES DA CUNHA
2022,COTIPORÃ,PP,89770,JOEL LEANDRO WILHELM,Eleito,0,JOEL LEANDRO WILHELM,COTIPORA
2022,ERNESTINA,PP,85022,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,0,MARCUS VINICIUS VIEIRA DE ALMEIDA,ERNESTINA
2022,WESTFALIA,PP,89524,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,0,MARCUS VINICIUS VIEIRA DE ALMEIDA,WESTFALIA
2022,RIO DOS ÍNDIOS,PL,87548,APARECIDO MACEDO,Suplente,0,CAPITAO MACEDO,RIO DOS INDIOS
2022,TUPANCIRETÃ,PSDB,89478,RODRIGO MARINI MARONI,Suplente,12,RODRIGO MARONI,TUPANCIRETA
2022,HERVEIRAS,PSDB,88323,NERI ANDRADE PEREIRA JUNIOR,Eleito,0,NERI ANDRADE PEREIRA JUNIOR,HERVEIRAS
2022,UNIÃO DA SERRA,PSDB,88048,NERI ANDRADE PEREIRA JUNIOR,Eleito,1,NERI ANDRADE PEREIRA JUNIOR,UNIAO DA SERRA
2022,ITATIBA DO SUL,PSDB,87157,NERI ANDRADE PEREIRA JUNIOR,Eleito,0,NERI ANDRADE PEREIRA JUNIOR,ITATIBA DO SUL
2022,SANT'ANA DO LIVRAMENTO,PSDB,88455,NERI ANDRADE PEREIRA JUNIOR,Eleito,6,NERI ANDRADE PEREIRA JUNIOR,SANT'ANA DO LIVRAMENTO
2022,SÉRIO,PSDB,87904,NERI ANDRADE PEREIRA JUNIOR,Eleito,0,NERI ANDRADE PEREIRA JUNIOR,SERIO
